group,id,AN,DI,FE,HA,NE,SA,SP
A,A_10,1.0,0.75,0.416666666667,1.0,0.916666666667,0.916666666667,0.5
A,A_11,0.916666666667,0.916666666667,0.833333333333,1.0,0.666666666667,0.666666666667,0.916666666667
A,A_12,0.666666666667,0.666666666667,0.0833333333333,1.0,0.916666666667,0.75,0.833333333333
A,A_13,0.833333333333,0.916666666667,0.416666666667,1.0,0.916666666667,0.75,1.0
A,A_14,1.0,0.833333333333,0.25,0.916666666667,1.0,0.75,0.916666666667
A,A_15,0.75,0.75,0.166666666667,1.0,0.916666666667,0.583333333333,0.75
A,A_16,1.0,0.666666666667,0.666666666667,1.0,1.0,0.916666666667,0.583333333333
A,A_17,1.0,0.833333333333,0.666666666667,1.0,1.0,0.916666666667,0.833333333333
A,A_1,1.0,0.833333333333,0.416666666667,1.0,0.333333333333,0.666666666667,0.833333333333
A,A_2,1.0,0.833333333333,0.666666666667,1.0,1.0,0.666666666667,0.833333333333
A,A_3,0.916666666667,0.416666666667,0.25,1.0,0.916666666667,0.75,1.0
A,A_4,0.5,0.25,0.166666666667,1.0,1.0,0.0833333333333,0.833333333333
A,A_5,0.833333333333,1.0,0.333333333333,0.916666666667,1.0,0.833333333333,0.833333333333
A,A_6,1.0,0.833333333333,0.583333333333,1.0,1.0,0.583333333333,0.833333333333
A,A_7,0.916666666667,0.75,0.333333333333,1.0,0.916666666667,0.833333333333,0.916666666667
A,A_8,0.916666666667,0.75,0.916666666667,1.0,0.666666666667,0.916666666667,0.833333333333
A,A_9,0.916666666667,0.666666666667,0.5,1.0,0.916666666667,0.75,0.833333333333
JB,JB_001,0.916666666667,0.916666666667,0.666666666667,1.0,0.916666666667,0.916666666667,0.833333333333
